name,type,location,website
Milwaukee School of Engineering,4 Year,"Milwaukee, WI",https://www.niche.com/colleges/milwaukee-school-of-engineering/
University of Cincinnati,4 Year,"Cincinnati, OH",https://www.niche.com/colleges/university-of-cincinnati/
University of South Carolina,4 Year,"Columbia, SC",https://www.niche.com/colleges/university-of-south-carolina/
Rockhurst University,4 Year,"Kansas City, MO",https://www.niche.com/colleges/rockhurst-university/
West Virginia University,4 Year,"Morgantown, WV",https://www.niche.com/colleges/west-virginia-university/
Drake University,4 Year,"Des Moines, IA",https://www.niche.com/colleges/drake-university/
University of Connecticut,4 Year,"Storrs, CT",https://www.niche.com/colleges/university-of-connecticut/
Chapman University,4 Year,"Orange, CA",https://www.niche.com/colleges/chapman-university/
University of Arizona,4 Year,"Tucson, AZ",https://www.niche.com/colleges/university-of-arizona/
Oklahoma State University,4 Year,"Stillwater, OK",https://www.niche.com/colleges/oklahoma-state-university/
University of Colorado - Boulder,4 Year,"Boulder, CO",https://www.niche.com/colleges/university-of-colorado---boulder/
University of Arkansas,4 Year,"Fayetteville, AR",https://www.niche.com/colleges/university-of-arkansas/
University of Denver,4 Year,"Denver, CO",https://www.niche.com/colleges/university-of-denver/
Miami University,4 Year,"Oxford, OH",https://www.niche.com/colleges/miami-university/
Dickinson College,4 Year,"Carlisle, PA",https://www.niche.com/colleges/dickinson-college/
Ohio Northern University,4 Year,"Ada, OH",https://www.niche.com/colleges/ohio-northern-university/
University of Missouri,4 Year,"Columbia, MO",https://www.niche.com/colleges/university-of-missouri/
University of Kansas,4 Year,"Lawrence, KS",https://www.niche.com/colleges/university-of-kansas/
Taylor University,4 Year,"Upland, IN",https://www.niche.com/colleges/taylor-university/
Samford University,4 Year,"Birmingham, AL",https://www.niche.com/colleges/samford-university/
Whitworth University,4 Year,"Spokane, WA",https://www.niche.com/colleges/whitworth-university/
Hobart and William Smith Colleges,4 Year,"Geneva, NY",https://www.niche.com/colleges/hobart-and-william-smith-colleges/
Louisiana State University,4 Year,"Baton Rouge, LA",https://www.niche.com/colleges/louisiana-state-university/
Marist College,4 Year,"Poughkeepsie, NY",https://www.niche.com/colleges/marist-college/
Seton Hall University,4 Year,"South Orange, NJ",https://www.niche.com/colleges/seton-hall-university/
University of Wisconsin - La Crosse,4 Year,"La Crosse, WI",https://www.niche.com/colleges/university-of-wisconsin---la-crosse/
New Mexico Military Institute,2 Year,"Roswell, NM",https://www.niche.com/colleges/new-mexico-military-institute/
Concordia College,4 Year,"Moorhead, MN",https://www.niche.com/colleges/concordia-college/
Coe College,4 Year,"Cedar Rapids, IA",https://www.niche.com/colleges/coe-college/
University of New Hampshire,4 Year,"Durham, NH",https://www.niche.com/colleges/university-of-new-hampshire/
Agnes Scott College,4 Year,"Decatur, GA",https://www.niche.com/colleges/agnes-scott-college/
Embry-Riddle Aeronautical University - Daytona Beach,4 Year,"Daytona Beach, FL",https://www.niche.com/colleges/embry-riddle-aeronautical-university---daytona-beach/
University of Puget Sound,4 Year,"Tacoma, WA",https://www.niche.com/colleges/university-of-puget-sound/
Seattle University,4 Year,"Seattle, WA",https://www.niche.com/colleges/seattle-university/
Fox Valley Technical College,2 Year,"Appleton, WI",https://www.niche.com/colleges/fox-valley-technical-college/
Liberty University,4 Year,"Lynchburg, VA",https://www.niche.com/colleges/liberty-university/
University of Colorado Denver,4 Year,"Denver, CO",https://www.niche.com/colleges/university-of-colorado-denver/
George Mason University,4 Year,"Fairfax, VA",https://www.niche.com/colleges/george-mason-university/
Juniata College,4 Year,"Huntingdon, PA",https://www.niche.com/colleges/juniata-college/
St. John Fisher College,4 Year,"Rochester, NY",https://www.niche.com/colleges/st-john-fisher-college/
Lake Forest College,4 Year,"Lake Forest, IL",https://www.niche.com/colleges/lake-forest-college/
University of Maryland - Baltimore County,4 Year,"Baltimore, MD",https://www.niche.com/colleges/university-of-maryland---baltimore-county/
University of Louisville,4 Year,"Louisville, KY",https://www.niche.com/colleges/university-of-louisville/
University of Idaho,4 Year,"Moscow, ID",https://www.niche.com/colleges/university-of-idaho/
John Brown University,4 Year,"Siloam Springs, AR",https://www.niche.com/colleges/john-brown-university/
University of California - Riverside,4 Year,"Riverside, CA",https://www.niche.com/colleges/university-of-california---riverside/
St. Norbert College,4 Year,"De Pere, WI",https://www.niche.com/colleges/st-norbert-college/
