Song Heading,Singer,Composer,Lyricist,Actor,Film (Year),Category
Kya Kare Kya Na Kare4.71 - 7 votes,Aditya Narayan,A R Rahman,Mehboob,"Aamir Khan, Jackie Shroff, Urmila Matondkar",Rangeela (1995),"Masti Bhare Geet, Filmfare Awards Nominee, Dance Songs"
Pyar Ye Jane Kaisa Hain4.57 - 7 votes,"Aditya Narayan, Asha Bhosle",A R Rahman,Mehboob,"Urmila Matondkar, Jackie Shroff, Aamir Khan",Rangeela (1995),"Sad Songs, Filmfare Awards Nominee"
Mangataa Hai Kyaa Vo Bolo4.00 - 3 votes,"A R Rahman, Shweta Shetty",A R Rahman,Mehboob,"Aamir Khan, Jackie Shroff, Urmila Matondkar",Rangeela (1995),"Rock Songs, Filmfare Awards Nominee"
Yaro Sun Lo Zara Apna Ye Kahna3.88 - 8 votes,"Udit Narayan, Chithra K S",A R Rahman,Mehboob Kotwal,"Urmila Matondkar, Aamir Khan",Rangeela (1995),Masti Bhare Geet
Kya Kare Kya Na Kare3.00 - 1 votes,Udit Narayan,A R Rahman,Mehboob Kotwal,Aamir Khan,Rangeela (1995),Masti Bhare Geet
Spirit Of Rangeela3.00 - 1 votes,,A R Rahman,,,Rangeela (1995),
Luka Chuppi4.37 - 82 votes,"A R Rahman, Lata Mangeshkar",A R Rahman,Prasoon Joshi,,Rang De Basanti (2006),
Tu Bin Bataye Mujhe Le Chal Kahi4.30 - 30 votes,"Madhushree, Naresh Iyer",A R Rahman,Prasoon Joshi,"R Madhavan, Soha Ali Khan",Rang De Basanti (2006),Romantic Songs
Mohe Rang De Basanti3.86 - 28 votes,"Daler Mehndi, Chithra K S",A R Rahman,Prasoon Joshi,"R Madhavan, Aamir Khan, Soha Ali Khan",Rang De Basanti (2006),"Patriotic Songs, Masti Bhare Geet"
Paathshala4.30 - 10 votes,"Naresh Iyer, Mohamed Aslam",A R Rahman,Prasoon Joshi,"Soha Ali Khan, Aamir Khan, R Madhavan",Rang De Basanti (2006),Pop Songs
Ek Onkar Sat Naam3.80 - 10 votes,Harshdeep Kaur,A R Rahman,Prasoon Joshi,"Aamir Khan, Soha Ali Khan, Atul Kulkarni, Kunal Kapoor, Sharman Joshi, Lekh Tandon, R Madhavan, R. Siddharth, Alice Patten",Rang De Basanti (2006),Religious Songs
Roobaru4.43 - 7 votes,"A R Rahman, Naresh Iyer",A R Rahman,Prasoon Joshi,Aamir Khan,Rang De Basanti (2006),
Sarfaroshi Ki Tamanna Ab Hamare Dil Me Hai4.20 - 5 votes,Aamir Khan,A R Rahman,Prasoon Joshi,"Soha Ali Khan, Aamir Khan",Rang De Basanti (2006),Patriotic Songs
Khalbalee Hai Khalbalee4.00 - 2 votes,A R Rahman,A R Rahman,Prasoon Joshi,"R Madhavan, Aamir Khan, Soha Ali Khan",Rang De Basanti (2006),Patriotic Songs
Paathshala - Be A Rebel3.50 - 4 votes,"Blaaze, Naresh Iyer, Mohamed Aslam",A R Rahman,Prasoon Joshi,,Rang De Basanti (2006),
Khoon Chala3.00 - 3 votes,Mohit Chauhan,A R Rahman,Prasoon Joshi,"Aamir Khan, Soha Ali Khan",Rang De Basanti (2006),Sad Songs
Chahenge Tumhe Bas Tumhari Baat Karenge4.21 - 38 votes,"Udit Narayan, Shreya Ghoshal",Himesh Reshammiya,Sameer,"Shahid Kapoor, Amrita Rao",Vaah Life Ho Toh Aisi (2005),
Hanumaan Chaalisa3.71 - 14 votes,"Ajay Gogavale, Shankar Mahadevan",Himesh Reshammiya,Sameer,Shahid Kapoor,Vaah Life Ho Toh Aisi (2005),Religious Songs
"Dil Ke Mare Hai, Tumase Hare Hai4.00 - 2 votes","Udit Narayan, Alka Yagnik",Himesh Reshammiya,Sameer,"Shahid Kapoor, Amrita Rao",Vaah Life Ho Toh Aisi (2005),
Koyee Aap Jaisa Mil Jaaye4.00 - 2 votes,"Madhushree, Kunal Ganjawala, Jayesh Gandhi",Himesh Reshammiya,Sameer,"Shahid Kapoor, Amrita Rao",Vaah Life Ho Toh Aisi (2005),
Teri Yaad Yaad (Remix)3.83 - 6 votes,"K. K., Jayesh Gandhi",Himesh Reshammiya,Sameer,,Vaah Life Ho Toh Aisi (2005),Remix Songs
Pyaar Me Tere Tere Tere3.00 - 3 votes,"Sonu Nigam, Shreya Ghoshal",Himesh Reshammiya,Sameer,"Shahid Kapoor, Amrita Rao",Vaah Life Ho Toh Aisi (2005),
Pyar Me Tere (Remix)3.00 - 1 votes,"Sonu Nigam, Shreya Ghoshal",Himesh Reshammiya,Sameer,,Vaah Life Ho Toh Aisi (2005),Remix Songs
Teree Yaad Yaad3.00 - 1 votes,"K. K., Jayesh Gandhi",Himesh Reshammiya,Sameer,"Sanjay Dutt, Shahid Kapoor, Amrita Rao",Vaah Life Ho Toh Aisi (2005),
Teri Zindagi Hai Ajab Ek Tarana3.50 - 2 votes,S.P. Balasubramaniam,Jatin Lalit,Dev Kohli,,Vaade Iraade (1994),
Dilnasheen Hai Chulbula Hai3.00 - 1 votes,Asha Bhosle,Jatin Lalit,Dev Kohli,,Vaade Iraade (1994),
Main Namber One Hu3.00 - 1 votes,Poornima,Jatin Lalit,Dev Kohli,,Vaade Iraade (1994),
Naghmo Ke Rang Bikhre Hai3.00 - 1 votes,Pankaj Udhas,Jatin Lalit,Madan Pal,,Vaade Iraade (1994),
Yeh Dil Deewana Hai Tera3.00 - 1 votes,"Poornima, Jatin Pandit",Jatin Lalit,Dev Kohli,,Vaade Iraade (1994),
Hum Apna Naam Lekar3.00 - 1 votes,S.P. Balasubramaniam,Jatin Lalit,Dev Kohli,Mamta Kulkarni,Vaade Iraade (1994),
Tum Ho Meri Sweet Heart3.00 - 1 votes,"Kavita Krishnamurthy, S P Balasubramaniam",Jatin Lalit,Dev Kohli,Mamta Kulkarni,Vaade Iraade (1994),
Roz-E-Awwal Se Hi Aawara Hu4.67 - 3 votes,Roop Kumar Rathod,Ustad Amjad Ali Khan,Gulzar,,Vaadaa (Roop Kumar Rathod) (2000),
Har Baat Pe Hairan Hai4.50 - 4 votes,"Sadhana Sargam, Roop Kumar Rathod",Ustad Amjad Ali Khan,Gulzar,,Vaadaa (Roop Kumar Rathod) (2000),
Aisa Koyee Jindagee Se Vaada Toh Nahee Tha4.33 - 9 votes,Roop Kumar Rathod,,Gulzar,,Vaadaa (Roop Kumar Rathod) (2000),Romantic Songs
Yeh Subah Saans Legi4.25 - 4 votes,Roop Kumar Rathod,Ustad Amjad Ali Khan,Gulzar,,Vaadaa (Roop Kumar Rathod) (2000),
Aankho Mai Sawan Chhalka Hua Hai4.00 - 2 votes,Sadhana Sargam,Ustad Amjad Ali Khan,Gulzar,,Vaadaa (Roop Kumar Rathod) (2000),
Sara Jahan Chup Chap Hai4.00 - 2 votes,Sadhana Sargam,Ustad Amjad Ali Khan,Gulzar,,Vaadaa (Roop Kumar Rathod) (2000),
Doob Rahe Ho3.00 - 1 votes,Roop Kumar Rathod,Ustad Amjad Ali Khan,Gulzar,,Vaadaa (Roop Kumar Rathod) (2000),Ghazals
Vaadaa Instrumental3.00 - 1 votes,,Ustad Amjad Ali Khan,,,Vaadaa (Roop Kumar Rathod) (2000),Instrumental Songs
Dhol Baaje Dham Dham3.57 - 7 votes,Lata Mangeshkar,Laxmikant Pyarelal,Anand Bakshi,,Vaada Tera Vaada (1974),
Mohabbat Ki Nazar Dekho4.00 - 2 votes,Lata Mangeshkar,Laxmikant Pyarelal,Anand Bakshi,,Vaada Tera Vaada (1974),
Shokiya Nazar Me Hai3.67 - 6 votes,Mohammed Rafi,Laxmikant Pyarelal,Anand Bakshi,,Vaada Tera Vaada (1974),
"Aankhon Mein Mohabbat Hai, Mathe Pe Pasina Hai3.66 - 141 votes","Poornima, Kumar Sanu",Anand Milind,Sameer,"Raveena Tandon, Ajay Devgan",Gair (1999),Masti Bhare Geet
"Laila Laila, Mai Naye Jamane Ki Laila, Har Koi Banna Chahe4.24 - 46 votes","Sapna Mukherjee, Abhijeet",Anand Milind,Sameer,"Raveena Tandon, Ajay Devgan",Gair (1999),Masti Bhare Geet
Mera Dil Meri Jaan Tere Pyar Ka Deewana4.21 - 73 votes,"Udit Narayan, Sadhana Sargam",Anand Milind,Sameer,,Gair (1999),
"Tere Patli Kamar Tera Chikna Badan, Tu Aaja Meri Bahon Mein3.78 - 83 votes","Kumar Sanu, Alka Yagnik",Anand Milind,Sameer,"Raveena Tandon, Ajay Devgan",Gair (1999),Masti Bhare Geet
"Mere Dil Ne Chupke Se Tera Dil Chura Liya, Na Socha Na Samjha3.47 - 66 votes","Kavita Krishnamurthy, Kumar Sanu",Anand Milind,Sameer,"Raveena Tandon, Ajay Devgan",Gair (1999),Happy Songs
Aaj Ki Raat Naya Geet Koi Gaunga3.33 - 30 votes,"Alka Yagnik, Kumar Sanu",Anand Milind,Sameer,"Ajay Devgan, Raveena Tandon",Gair (1999),Party Songs
Chand Ki Katori Hai Raat Ye Chatori Hai4.00 - 2 votes,Harshdeep Kaur,Sanjay Leela Bhansali,Vibhu Puri,"Hrithik Roshan, Aishwarya Rai",Guzaarish (2010),
Dhundhli Dhundhli Shaam Hui Ab To Waapas Aa Jaao4.00 - 2 votes,Shankar Mahadevan,Sanjay Leela Bhansali,A. M. Turaz,"Hrithik Roshan, Aishwarya Rai",Guzaarish (2010),
Keh Na Saku Main Itna Pyaar Karta Hu3.50 - 4 votes,Shail Hada,Sanjay Leela Bhansali,"Vibhu Puri, Late Jagdish Joshi","Aishwarya Rai, Hrithik Roshan",Guzaarish (2010),
Daayein Baayein Chahat Chaaye3.00 - 1 votes,K. K.,Sanjay Leela Bhansali,A. M. Turaz,"Aishwarya Rai, Hrithik Roshan",Guzaarish (2010),
What A Wonderful World3.00 - 1 votes,Hrithik Roshan,,,,Guzaarish (2010),
Udi Neendein Aankhon Se4.04 - 27 votes,"Sunidhi Chauhan, Shail Hada",Sanjay Leela Bhansali,A. M. Turaz,"Aishwarya Rai, Hrithik Roshan",Guzaarish (2010),Dance Songs
Ke Tera Zikr Hai Ya Itr Hai4.00 - 16 votes,"Shail Hada, Rakesh Pandit",Sanjay Leela Bhansali,A. M. Turaz,"Monikangana Dutta, Hrithik Roshan",Guzaarish (2010),
Thodi Si Meethi Hai Zara Si Mirchi Hai Sau Gram Zindagi Ye4.38 - 8 votes,Kunal Ganjawala,Sanjay Leela Bhansali,Vibhu Puri,"Hrithik Roshan, Aishwarya Rai",Guzaarish (2010),
"Jane Kiske Khwab, Takiye Ke Neeche Raat4.29 - 7 votes",K. K.,Sanjay Leela Bhansali,A. M. Turaz,"Aishwarya Rai, Hrithik Roshan",Guzaarish (2010),
Bas Itni Si Tum Se Guzaarish Hai3.43 - 7 votes,"K. K., Shail Hada",Sanjay Leela Bhansali,A. M. Turaz,,Guzaarish (2010),
Mazo Saiba Paala Saalon Se Tha Isse Dil Alvida2.75 - 4 votes,Shail Hada,Sanjay Leela Bhansali,"Late Jagdish Joshi, Vibhu Puri",Hrithik Roshan,Guzaarish (2010),
Ae Hairate Aasheeki Jaga Mat4.41 - 22 votes,"Hariharan, Alka Yagnik",A R Rahman,Gulzar,"Aishwarya Rai, Abhishek Bachchan",Guru (2007),Romantic Songs
Jage Hain Der Tak4.25 - 24 votes,"Chithra K S, A R Rahman",A R Rahman,Gulzar,"Aishwarya Rai, Abhishek Bachchan",Guru (2007),Philosophical Songs
O Hamdam Bin Tere Kya Jina4.12 - 34 votes,"Chinmayee, A R Rahman",A R Rahman,Gulzar,"Abhishek Bachchan, Aishwarya Rai",Guru (2007),Romantic Songs
Barso Re Megha Megha3.97 - 73 votes,"Keerthi, Shreya Ghoshal",A R Rahman,Gulzar,Aishwarya Rai,Guru (2007),Rain Songs
Raat Ka Shauk Hai4.73 - 11 votes,Sowmya Raoh,A R Rahman,Gulzar,,Guru (2007),
Mayya4.42 - 12 votes,"Keerthi, Chinmayee",A R Rahman,Gulzar,"Aishwarya Rai, Abhishek Bachchan",Guru (2007),Pop Songs
Ek Lo Ek Muft.. Jod Jod Jodiya2.75 - 4 votes,"Chithra K S, Bappi Lahiri",A R Rahman,Gulzar,"Aishwarya Rai, Abhishek Bachchan",Guru (2007),"Masti Bhare Geet, Happy Songs"
"Bajee Laga, Woh Chalane De Chalale De Paisa Chale3.00 - 1 votes","Udit Narayan, Madhushree",A R Rahman,Gulzar,,Guru (2007),
Chand Taare Jeb Me Hai (Children Version)4.88 - 8 votes,"Hitansh, Rachita, Sneha, Manvi, Mansi",Abhishek Ray,Manavendra,,I Am Kalam (2011),
Zindagi Aisi Waisi Na Ho4.67 - 3 votes,Papon,Papon,Protique Mojoomdar,,I Am Kalam (2011),Masti Bhare Geet
"Chand Tare Jeb Me Hai, Chhoti Chhoti Muthiyo Me Band Hai Khushiya4.33 - 3 votes",K. K.,Abhishek Ray,Manavendra,,I Am Kalam (2011),"Happy Songs, Masti Bhare Geet"
"Ab Jahan Bhi Hum Rukenge Rang Jamalenge, Rang Jamale (Female)3.00 - 1 votes",Anushka Manchanda,Madhuparna,Salil Vaidya,,I Am Kalam (2011),
"Ab Jahan Bhi Hum Ruknge Rang Jamalenge, Rang Jamale (Male)3.00 - 1 votes",Javed Ali,Madhuparna,Salil Vaidya,,I Am Kalam (2011),Masti Bhare Geet
"Jeevan Ek Rangoli Hai, Jisme Kuch Rang Fike Hai3.00 - 1 votes","Shivji Dholi, Susmit Bose",Susmit Bose,Kishore,,I Am Kalam (2011),Happy Songs
Chhini Bhini Si Gudgudahat Jindagi4.50 - 4 votes,Shreya Ghoshal,Abhishek Ray,Manavendra,,I Am Kalam (2011),Dance Songs
Udan Pe Baitho (Unplugged)3.00 - 1 votes,Shivji Dholi,Shivji Dholi,Shivji Dholi,,I Am Kalam (2011),Remix Songs
Pankho Ko Hawa Zara4.17 - 6 votes,Salim Merchant,Salim Sulaiman,Jaideep Sahni,Ranbir Kapoor,Rocket Singh - Salesman Of The Year (2009),Romantic Songs
Pocket Mein Rocket4.00 - 2 votes,Vishal Dadlani,Salim Sulaiman,Jaideep Sahni,Ranbir Kapoor,Rocket Singh - Salesman Of The Year (2009),Masti Bhare Geet
Gadbadi Hai Hadbadi Hai3.00 - 1 votes,Vishal Dadlani,Salim Sulaiman,Jaideep Sahni,Ranbir Kapoor,Rocket Singh - Salesman Of The Year (2009),Dance Songs
"Ram Chahe Leela, In Dono Ke Love Me (Title Song)3.62 - 2318 votes",Bhoomi Trivedi,Sanjay Leela Bhansali,"Siddharth, Garima","Richa Chadda, Gulshan Devaiya, Ranveer Singh, Deepika Padukone",Ramleela (2013),Title Song
Nagada Sang Dhol Baaje3.90 - 1502 votes,"Osman Mir, Shreya Ghoshal",Sanjay Leela Bhansali,"Siddharth, Garima","Deepika Padukone, Ranveer Singh",Ramleela (2013),Dance Songs
"Ang Laga De Re, Jog Laga De Re3.73 - 638 votes",Aditi Paul,Sanjay Leela Bhansali,"Siddharth, Garima","Deepika Padukone, Ranveer Singh",Ramleela (2013),Romantic Songs
Tattad Tattad Ram Ji Ki Chaal Dekho3.60 - 843 votes,Aditya Narayan,Sanjay Leela Bhansali,"Siddharth, Garima","Ranveer Singh, Deepika Padukone",Ramleela (2013),"Party Songs, Dance Songs"
Dil Ki Ye Goli Chali4.33 - 1067 votes,Aditya Narayan,Sanjay Leela Bhansali,"Siddharth, Garima","Ranveer Singh, Deepika Padukone",Ramleela (2013),"Dance Songs, Rock Songs"
"Dhoop Se Chhan Ke, Dhua Mann Hua4.34 - 705 votes",Shreya Ghoshal,Sanjay Leela Bhansali,"Siddharth, Garima","Ranveer Singh, Deepika Padukone",Ramleela (2013),Romantic Songs
Lahu Munh Lag Gaya3.61 - 774 votes,Shail Hada,Sanjay Leela Bhansali,"Siddharth, Garima","Ranveer Singh, Gulshan Devaiya, Deepika Padukone, Richa Chadda",Ramleela (2013),Pop Songs
"Laal Ishk, Mera Naam Ishk3.74 - 403 votes",Arijit Singh,Sanjay Leela Bhansali,"Siddharth, Garima","Deepika Padukone, Ranveer Singh",Ramleela (2013),Romantic Songs
Poore Chaand Ki Ye Aadhi Raat Hai3.61 - 189 votes,Shail Hada,Sanjay Leela Bhansali,"Siddharth, Garima","Ranveer Singh, Deepika Padukone",Ramleela (2013),"Sad Songs, Romantic Songs"
"Teri Aankho Me Aansu Hai, Mai Tera Rakhwala3.84 - 189 votes",S P Balasubramaniam,Anand Milind,Sameer,,Rakhwala (1989),Title Song
Jab Jab Teri Najar Se Milti Hai Meri Najar3.71 - 24 votes,"Mohammed Aziz, Sadhana Sargam",Anand Milind,Sameer,,Rakhwala (1989),Masti Bhare Geet
Oh My Love Tere Bina Jeena Nahi4.00 - 2 votes,"S Janaki, Amit Kumar",Anand Milind,Sameer,,Rakhwala (1989),
Aag Lag Rahi Hai Tum Bujhao3.67 - 9 votes,"Mohammed Aziz, Anuradha Paudwal",Anand Milind,Sameer,,Rakhwala (1989),Romantic Songs
Puchh Rahi Hai Ladki Haidrabaadi4.60 - 5 votes,Alka Yagnik,Anand Milind,Sameer,,Rakhwala (1989),Masti Bhare Geet
Bom Bom Bom Bom Bombay Meri Hai4.50 - 6 votes,Amit Kumar,Anand Milind,Sameer,,Rakhwala (1989),Dance Songs
Jine Laga Hoon4.14 - 1330 votes,"Shreya Ghoshal, Atif Aslam",Sachin Jigar,Priya Panchal,"Shruti Haasan, Girish Taurani",Ramaiya Vastavaiya (2013),Romantic Songs
Jadoo Ki Jhappi (Part - Ii)4.33 - 117 votes,"Neha Kakkar, Mika Singh",Sachin Jigar,Priya Panchal,,Ramaiya Vastavaiya (2013),
Thami Thami Si Sanse4.13 - 296 votes,"Shreya Ghoshal, Atif Aslam",Sachin Jigar,Priya Panchal,,Ramaiya Vastavaiya (2013),
Bairiyaa O Bairiya Mujhe Sata Na4.13 - 136 votes,"Shreya Ghoshal, Atif Aslam",Sachin Jigar,Priya Panchal,,Ramaiya Vastavaiya (2013),Romantic Songs
Jadoo Ki Jhappi Leja (Part - I)3.97 - 179 votes,"Neha Kakkar, Mika Singh",Sachin Jigar,Priya Panchal,,Ramaiya Vastavaiya (2013),Item Songs
Kar Le Na Hip Hop Hip Hop Pammi4.19 - 74 votes,"Mika Singh, Monali Thakur",Sachin Jigar,Priya Panchal,,Ramaiya Vastavaiya (2013),
Pichha Chhute4.19 - 47 votes,Mohit Chauhan,Sachin Jigar,Priya Panchal,,Ramaiya Vastavaiya (2013),
Janam Janam Jo Saath Nibhaye Ek Aisa Bhandhan Ban Jao4.19 - 418 votes,"Udit Narayan, Alka Yagnik",Nadeem Shravan,Sameer,Govinda,Raja Bhaiya (2003),Romantic Songs
Tu Jo Hans Hans Ke Sanam Mujh Se Bat Karti Hai4.09 - 142 votes,"Kavita Krishnamurthy, Udit Narayan",Nadeem Shravan,Sameer,Govinda,Raja Bhaiya (2003),Romantic Songs
Kahta Hai Mera Jiya Hay Baaho Me Bhar Le Piya4.17 - 6 votes,"Udit Narayan, Sunidhi Chauhan",Nadeem Shravan,Sameer,Govinda,Raja Bhaiya (2003),Masti Bhare Geet
Madhosh Teri Aankhe Bamisal Teri Aakhe4.00 - 6 votes,Udit Narayan,Surendra Sodi,Maan Singh Deep,,Raja Bhaiya (2003),Tareef Songs
Sunday Manao4.00 - 2 votes,"Kavita Krishnamurthy, Udit Narayan",Nadeem Shravan,Sameer,,Raja Bhaiya (2003),
Don't Touch Don't Touch Diwane4.00 - 5 votes,"Sunidhi Chauhan, Arvinder Singh",Surendra Sodi,Maan Singh Deep,,Raja Bhaiya (2003),Dance Songs
Bindiya Bole Kya Bole Kajra Bole3.85 - 178 votes,"Sukhwinder Singh, Alka Yagnik",Dilip Sen Sameer Sen,Sameer,"Shilpa Shirodkar, Sunil Shetty",Raghuveer (1995),Romantic Songs
Dil Tera Diwana Hai3.31 - 16 votes,"Poornima, Kumar Sanu",Dilip Sen Sameer Sen,Sameer,"Shilpa Shirodkar, Sunil Shetty",Raghuveer (1995),Masti Bhare Geet
Love Interview Love Interview4.83 - 6 votes,"Poornima, Kumar Sanu",Dilip Sen Sameer Sen,Sameer,"Shilpa Shirodkar, Sunil Shetty",Raghuveer (1995),Romantic Songs
O Jaaneman Chehra Tera Jadu Koi Jadu4.00 - 6 votes,"Jolly Mukherjee, Alka Yagnik",Dilip Sen Sameer Sen,Sameer,"Shilpa Shirodkar, Sunil Shetty",Raghuveer (1995),Masti Bhare Geet
Mujhe Ishq Da Lag Gaya Rog3.67 - 3 votes,"Sadhana Sargam, Sukhwinder Singh",Dilip Sen Sameer Sen,Sameer,,Raghuveer (1995),
Tere Pyar Me Sanam Tere Intjar Me3.67 - 3 votes,Poornima,Dilip Sen Sameer Sen,Sameer,,Raghuveer (1995),Masti Bhare Geet
Mera Yaar Sangdil Hai Magar Bewafa Nahi4.06 - 16 votes,Sadhana Sargam,Dilip Sen Sameer Sen,Sameer,"Sunil Shetty, Shilpa Shirodkar",Raghuveer (1995),Sad Songs
Mere Maahi Mere Maahi4.50 - 26 votes,Toshi Sabri,Sharib Toshi,Sayeed Quadri,Emraan Hashmi,Raaz - The Mystery Continues (2009),
Soniyo (From The Heart)4.48 - 25 votes,Krishna Beura,Raju Singh,Kumaar,"Kangna Ranaut, Emraan Hashmi",Raaz - The Mystery Continues (2009),
Moko Kaha Dhunde Re Bande (Banda Re)4.24 - 25 votes,Krishna Beura,Gourov Dasgupta,Sayeed Quadri,"Kangna Ranaut, Emraan Hashmi",Raaz - The Mystery Continues (2009),Religious Songs
Maahi (Rock With Me)4.47 - 17 votes,Toshi Sabri,Sharib Toshi,Sayeed Quadri,"Kangna Ranaut, Emraan Hashmi",Raaz - The Mystery Continues (2009),Rock Songs
Soniyo4.38 - 13 votes,"Shreya Ghoshal, Sonu Nigam",Raju Singh,Kumar,"Adhyayan Suman, Kangana Ranaut",Raaz - The Mystery Continues (2009),Romantic Songs
Kaisa Yeh Raaz Hai4.50 - 6 votes,K. K.,Ripul Dharmesh,Sayeed Quadri,Emraan Hashmi,Raaz - The Mystery Continues (2009),Classical Songs
O Jaana (Dance With Me Mix)4.40 - 5 votes,K. K.,Raju Singh,Sayeed Quadri,"Kangna Ranaut, Emraan Hashmi",Raaz - The Mystery Continues (2009),Rock Songs
Main Waha Jaha Pe Tu Hai O Jaana3.67 - 3 votes,K. K.,Raju Singh,Sayeed Quadri,"Kangna Ranaut, Emraan Hashmi",Raaz - The Mystery Continues (2009),
O Ab Der Ho Gayi Wallah4.17 - 6 votes,Asha Bhosle,Sajjad,Qamar Jalalabadi,"Mumtaz, Prem Nath",Rustam Sohrab (1963),Ched Chad Songs
Yeh Kaisi Ajab Dastan Ho Gayi Hai4.03 - 190 votes,Suraiya,Sajjad,Qamar Jalalabadi,"Prithviraj Kapoor, Suraiya",Rustam Sohrab (1963),Sad Songs
Phir Tumhaaree Yaad Aayee Aye Sanam4.76 - 34 votes,"Manna Dey, Mohammed Rafi, Saadat Khan",Sajjad,Qamar Jalalabadi,Prem Nath,Rustam Sohrab (1963),Sad Songs
Mazandaran Mazandaran4.50 - 30 votes,Talat Mahmood,Sajjad,Jan Nisar Akhtar,,Rustam Sohrab (1963),Patriotic Songs
Aye Dilruba4.10 - 30 votes,Lata Mangeshkar,Sajjad,Jan Nisar Akhtar,,Rustam Sohrab (1963),Dance Songs
Hai Hai Yeh Majburee4.16 - 164 votes,Lata Mangeshkar,Laxmikant Pyarelal,Verma Malik,"Zeenat Aman, Manoj Kumar",Roti Kapada Aur Makaan (1974),"Ched Chad Songs, Rain Songs, Romantic Songs"
"Usane Kaha Tu Kaun Hai, Mahngai Maar Gai4.10 - 116 votes","Narendra Chanchal, Jani Babu Qawwal, Lata Mangeshkar, Mukesh",Laxmikant Pyarelal,Varma Malik,"Prem Nath, Moushumi Chatterjee, Manoj Kumar",Roti Kapada Aur Makaan (1974),Philosophical Songs
Pandit Ji Mere Marne Ke Baad3.97 - 157 votes,Lata Mangeshkar,Laxmikant Pyarelal,Verma Malik,Aruna Irani,Roti Kapada Aur Makaan (1974),Sharabi Songs
Aur Nahee Bas Aur Nahee4.70 - 23 votes,Mahendra Kapoor,Laxmikant Pyarelal,Santosh Anand,"Amitabh Bachchan, Manoj Kumar, Shashi Kapoor",Roti Kapada Aur Makaan (1974),Sad Songs
"Mai Naa Bhulunga, Mai Naa Bhulungee4.54 - 94 votes","Lata Mangeshkar, Mukesh",Laxmikant Pyarelal,Santosh Anand,"Manoj Kumar, Zeenat Aman",Roti Kapada Aur Makaan (1974),"Romantic Songs, Filmfare Awards Nominee, Filmfare Awards Winner"
Mai Na Bhulunga4.41 - 83 votes,"Mukesh, Lata Mangeshkar",Laxmikant Pyarelal,Santosh Anand,"Zeenat Aman, Manoj Kumar",Roti Kapada Aur Makaan (1974),All Time Great
"Kyaa Yahi Pyaar Hai, Haan Yahi Pyaar Hai4.57 - 37 votes","Lata Mangeshkar, Kishore Kumar",R D Burman,Anand Bakshi,"Sanjay Dutt, Tina Munim",Rocky (1981),Romantic Songs
Ham Tumse Mile Phir Juda Ho Gaye4.37 - 19 votes,"Kishore Kumar, Lata Mangeshkar",R D Burman,Anand Bakshi,"Sanjay Dutt, Tina Munim",Rocky (1981),Romantic Songs
Aa Dekhe Jara Kisme Kitna Hai Dam4.32 - 19 votes,"Asha Bhosle, Kishore Kumar, R D Burman",R D Burman,Anand Bakshi,Sanjay Dutt,Rocky (1981),Disco Songs
Dosto Ko Salam Rocky Mera Naam4.30 - 10 votes,Kishore Kumar,R D Burman,Anand Bakshi,Sanjay Dutt,Rocky (1981),Friendship Songs
"Aao Mere Yaro Aao, Aao Meri Jan Bacho4.10 - 10 votes",Kishore Kumar,R D Burman,Anand Bakshi,,Rocky (1981),Romantic Songs
Dance Music (Rocky)3.50 - 2 votes,,R D Burman,,,Rocky (1981),Instrumental Songs
Git Sunoge Hujur Ya Mai Gajal Gaau3.00 - 6 votes,Asha Bhosle,R D Burman,Anand Bakshi,,Rocky (1981),
Aapki Inayate Aapke Karam4.64 - 33 votes,Lata Mangeshkar,Ravi,Anjaan,"Sadhana, Parikshat Sahni",Vandana (1975),Tareef Songs
Jo Chahe Saza De Do Kaisi Bhi Kasm Le Lo4.94 - 17 votes,Mohammed Rafi,Ravi,Asad Bhopali,"Parikshat Sahni, Sadhana",Vandana (1975),Roothna Manaana
Rut Hai Jawa Sama Hai Bada Pyara4.40 - 5 votes,Lata Mangeshkar,Ravi,Asad Bhopali,Jayshree T,Vandana (1975),Romantic Songs
O Jag Ke Palanhare Hume Bikh Daya Ki De3.86 - 7 votes,Lata Mangeshkar,Ravi,Asad Bhopali,Sadhana,Vandana (1975),Prayer
Ae Sochta Hai Kya Aaja3.80 - 5 votes,Asha Bhosle,Ravi,Ravi,"Bindu, Parikshat Sahni",Vandana (1975),Romantic Songs
"Yahaan Vahaan Saaraa Jahaan, Maan Tujhe Salaam, Vande Maataram4.57 - 21 votes",A R Rahman,A R Rahman,Mehboob,,Vande Mataram (A R Rahman) (1997),Patriotic Songs
Gurus Of Peace (Vande Mataram)3.00 - 1 votes,"A R Rahman, Nusrat Fateh Ali Khan",,"Dinesh Kapoor, Tim Kody, Mehboob Kotwal",,Vande Mataram (A R Rahman) (1997),
"Kud Se Main Jang Ladataa Hun, Taubaa Taubaa3.00 - 1 votes",A R Rahman,A R Rahman,Mehboob,,Vande Mataram (A R Rahman) (1997),
Only You3.00 - 1 votes,A R Rahman,,Mehboob Kotwal,,Vande Mataram (A R Rahman) (1997),Patriotic Songs
Thai Mannai Vanakkam3.00 - 1 votes,A R Rahman,,Vairamuthu,,Vande Mataram (A R Rahman) (1997),
Revival Missing Vande Maataram4.43 - 7 votes,A R Rahman,A R Rahman,Bankim Chandra Chatterjee,,Vande Mataram (A R Rahman) (1997),
