title,link,price,likes
"Eluktronics MAX-15 Slim & Ultra Light 15.6"" Gaming Laptop, i7-9750H, RTX 2060 Max-P, 256GB SSD, 8GB RAM - $1199.91 *Price Drop*",https://slickdeals.net/f/13967885-eluktronics-max-15-slim-ultra-light-15-6-gaming-laptop-i7-9750h-rtx-2060-max-p-256gb-ssd-8gb-ram-1199-91-price-drop?src=catpagev2,"$1,199.91",5
Oculus Rift Refurbished $299,https://slickdeals.net/f/13968200-oculus-rift-refurbished-299?src=catpagev2,$299,0
NETGEAR Orbi Mesh WiFi System (RBK33) AC2200 - 1 Base + 2 Satellites $199.99,https://slickdeals.net/f/13967285-netgear-orbi-mesh-wifi-system-rbk33-ac2200-1-base-2-satellites-199-99?src=catpagev2,$199.99,2
ADATA HD330: 5TB Black External USB 3.2 Portable Hard Drive (+ $10GC) @Newegg $129.99,https://slickdeals.net/f/13967069-adata-hd330-5tb-black-external-usb-3-2-portable-hard-drive-10gc-newegg-129-99?src=catpagev2,$129.99,3
RAVPower 60W 12A 6-Port Desktop iSmart Multiple Port USB Charging Station $14.99 AC + FSSS,https://slickdeals.net/f/13965974-ravpower-60w-12a-6-port-desktop-ismart-multiple-port-usb-charging-station-14-99-ac-fsss?src=catpagev2,N/A,20
RAIJINTEK LETO B 120mm CPU Cooler @Newegg $19.99,https://slickdeals.net/f/13967063-raijintek-leto-b-120mm-cpu-cooler-newegg-19-99?src=catpagev2,$19.99,1
"Bundle sale - SteelSeries Arctis Pro, Rival 600 Mouse, and Doom Eternal $199.99",https://slickdeals.net/f/13966511-bundle-sale-steelseries-arctis-pro-rival-600-mouse-and-doom-eternal-199-99?src=catpagev2,$199.99,3
Razer BlackWidow Ultimate Mechanical Gaming Keyboard w/ Razer Green Switches,https://slickdeals.net/f/13986029-razer-blackwidow-ultimate-water-and-dust-resistant-backlit-mechanical-gaming-keyboard-with-razer-green-switches-was-110-at-walmart-now-49-99?src=catpagev2,$50,52
"Lenovo Flex 15 Series 2-in-1 Laptop, $749.97 @ Costco in store YMMV",https://slickdeals.net/f/13988267-lenovo-flex-15-series-2-in-1-laptop-749-97-costco-in-store-ymmv?src=catpagev2,$749.97,0
"BenQ GW2280 22"" 1920 x 1080 5ms LED Backlit LCD Monitor - $89.99 + FS",https://slickdeals.net/f/13986827-benq-gw2280-22-1920-x-1080-5ms-led-backlit-lcd-monitor-89-99-fs?src=catpagev2,$89.99,13
The All-Level Amazon Web Services Cloud Professional Bootcamp $21,https://slickdeals.net/f/13987664-the-all-level-amazon-web-services-cloud-professional-bootcamp-21?src=catpagev2,$21,2
"Microcenter: iPad Pro 11"" (2020) - 128GB Space Gray for $729.99. In store pickup ONLY. YMMV.",https://slickdeals.net/f/13985912-microcenter-ipad-pro-11-2020-128gb-space-gray-for-729-99-in-store-pickup-only-ymmv?src=catpagev2,$729.99,17
"45% Off Laptops and Desktops, excludes Clearance",https://slickdeals.net/f/13985150-45-off-laptops-and-desktops-excludes-clearance?src=catpagev2,N/A,32
